d,deg,bytes,sha256,path
2,7,1683,f230263ae07378eb7285d99af97e627cd29ad36ddde49c9fa6c4100da41b1b0d,GM_9-7_d2_deg7.csv
2,9,2621,1c39c2e35444c2c0f8ccb41768df13407b690b6a1ee5897d873b55afe453f0e5,GM_9-7_d2_deg9.csv
3,7,3931,3a6743e7dc70eecf5d0d35e8aa398aaeca0f7c8818aad79ff9de1e8cd63171ce,GM_9-7_d3_deg7.csv
3,9,7775,41a9cc508b2c26512b877c43a3f007a76d73c070e320cae9b417b68e08d0f5e1,GM_9-7_d3_deg9.csv
4,7,7936,0a0c96a7763340070655fc58547320c116a994a5c385ed8f15d35477558f1fe4,GM_9-7_d4_deg7.csv
4,9,18801,0cdcbc03024467583ce02b587c945cbffcd301b65ad3d2a8bf0350a1de08c466,GM_9-7_d4_deg9.csv
5,7,14798,87ee8413d063d2bb3da6f103bcac4ab2369a1f15b4598a3213505a26da14c1b0,GM_9-7_d5_deg7.csv
5,9,39534,35ac8a8047c3c74164827306676db5b566032b1f30aa9a87436bc94b397e2dda,GM_9-7_d5_deg9.csv
6,7,26611,9baa4156a5fa7768a2c5b67bc4ff4e7e65a3cefa8e718f61343a9b5b3b313746,GM_9-7_d6_deg7.csv
6,9,75475,7f7448ce9fea68e4a69f291b059a8931a9a5d8228296e4feb93a1f47391416ec,GM_9-7_d6_deg9.csv
7,7,47740,35cd1eb66cca71bcabf73066c619aa0ce89e2afedbe95264aa36db05e52697f6,GM_9-7_d7_deg7.csv
7,9,135035,b88d0cad76c82144f4467797c6f4375f5d27a6c87cb03c49edd0ad29dded3c7b,GM_9-7_d7_deg9.csv
8,7,87324,46ec98098c841e5a58e9071efee560dc803e8f693fee9553b0ef9facae31a577,GM_9-7_d8_deg7.csv
8,9,232050,fe045284d577820b72f1f4626e701e210ed33a627618cecca4d1f2d4c09b5ea2,GM_9-7_d8_deg9.csv
9,7,164641,497562706252cc3f0d419af3584cf907b5ba4f0dd8865f939de303903204339a,GM_9-7_d9_deg7.csv
9,9,391501,a3ff9f86127c7ed93712ea276f8c133bba410ad77e9a3a8aed28ffe7d665cc20,GM_9-7_d9_deg9.csv
10,7,320905,4a1f3268f18e0ff3fb79445e772e62fe059c5539b399765d9f41d3e6aadf7007,GM_9-7_d10_deg7.csv
10,9,660289,53f3e03549d9c9c6314594b7c6b668a4e521ba49184fee8a68cbe72cf1328d30,GM_9-7_d10_deg9.csv
11,7,644779,ae0e47196c2e870e9b82b2870e0836fccdf6fa3d67b16e2bd951784828e47f33,GM_9-7_d11_deg7.csv
11,9,1133901,dc132a9b1b5c35b2accd00aa2de4a6c985a251f8f5e2b5aeb62e89a94e8c1083,GM_9-7_d11_deg9.csv
12,7,1321781,ff6b89228483b7df292e9bd61a3c02793d92df5b88b8be8e0b7e7ab00f8c90c8,GM_9-7_d12_deg7.csv
12,9,2005857,c752e1c66b9922e102f7075517c48fc9e3a04946db85dfa57764a4992e1914d0,GM_9-7_d12_deg9.csv
13,7,2746636,45b933fdac76df814dcee4a79881fc0018b57fb2b57ae920ed21d4726eb2d6e9,GM_9-7_d13_deg7.csv
13,9,3681060,5e4a76bbe01e403967595b3c7d875d0bee5bd9b9b9a4af8877295a72c559c20a,GM_9-7_d13_deg9.csv
14,7,5758755,20e85c247f3efba73938ef07fd51cb3e0c6169625e89831ad503022fba515b1a,GM_9-7_d14_deg7.csv
14,9,7002593,4ae252aa2ac26ae308bf56e4ba30e7f41bfa5580c787ccbb8e394ba02411fcf8,GM_9-7_d14_deg9.csv
15,7,12114469,30b1ccecfe60bf14a51f59f00d58e052393d82702b4ecb2df779cdbf0caccae1,GM_9-7_d15_deg7.csv
15,9,13739620,c7db3fc8edf72d3c97d2ae0cd4cf7f5e5aafefe368b6abd5d3500be926ed916a,GM_9-7_d15_deg9.csv
