group,x1,x2,w7,w5
center,0,0,-1696/2187,-3884/729
axis_lambda2,3/sqrt(70),0,3920/6561,490/243
axis_lambda2,-3/sqrt(70),0,3920/6561,490/243
axis_lambda2,0,3/sqrt(70),3920/6561,490/243
axis_lambda2,0,-3/sqrt(70),3920/6561,490/243
axis_lambda3,3/sqrt(10),0,1360/6561,130/729
axis_lambda3,-3/sqrt(10),0,1360/6561,130/729
axis_lambda3,0,3/sqrt(10),1360/6561,130/729
axis_lambda3,0,-3/sqrt(10),1360/6561,130/729
diag_lambda3,3/sqrt(10),3/sqrt(10),800/19683,100/729
diag_lambda3,3/sqrt(10),-3/sqrt(10),800/19683,100/729
diag_lambda3,-3/sqrt(10),3/sqrt(10),800/19683,100/729
diag_lambda3,-3/sqrt(10),-3/sqrt(10),800/19683,100/729
corner_lambda5,3/sqrt(19),3/sqrt(19),6859/19683,
corner_lambda5,3/sqrt(19),-3/sqrt(19),6859/19683,
corner_lambda5,-3/sqrt(19),3/sqrt(19),6859/19683,
corner_lambda5,-3/sqrt(19),-3/sqrt(19),6859/19683,
