group,group_label,node_index,x1,x2,weight
1,center,1,0.000000000000000000,0.000000000000000000,-0.340707998597401100
2,axis_l2,1,-0.406057174738239736,0.000000000000000000,0.494375921281729343
2,axis_l2,2,0.406057174738239736,0.000000000000000000,0.494375921281729343
2,axis_l2,3,0.000000000000000000,-0.406057174738239736,0.494375921281729343
2,axis_l2,4,0.000000000000000000,0.406057174738239736,0.494375921281729343
3,axis_l1,1,-0.955907315804539012,0.000000000000000000,0.196822032692783977
3,axis_l1,2,0.955907315804539012,0.000000000000000000,0.196822032692783977
3,axis_l1,3,0.000000000000000000,-0.955907315804539012,0.196822032692783977
3,axis_l1,4,0.000000000000000000,0.955907315804539012,0.196822032692783977
4,axis_lp_null,1,-0.750000000000000000,0.000000000000000000,0.000000000000000000
4,axis_lp_null,2,0.750000000000000000,0.000000000000000000,0.000000000000000000
4,axis_lp_null,3,0.000000000000000000,-0.750000000000000000,0.000000000000000000
4,axis_lp_null,4,0.000000000000000000,0.750000000000000000,0.000000000000000000
5,pair_l1_l1,1,-0.955907315804539012,-0.955907315804539012,0.038835733349496777
5,pair_l1_l1,2,-0.955907315804539012,0.955907315804539012,0.038835733349496777
5,pair_l1_l1,3,0.955907315804539012,-0.955907315804539012,0.038835733349496777
5,pair_l1_l1,4,0.955907315804539012,0.955907315804539012,0.038835733349496777
6,full_diag_l0,1,-0.686075797561756291,-0.686075797561756291,0.355143312325340178
6,full_diag_l0,2,-0.686075797561756291,0.686075797561756291,0.355143312325340178
6,full_diag_l0,3,0.686075797561756291,-0.686075797561756291,0.355143312325340178
6,full_diag_l0,4,0.686075797561756291,0.686075797561756291,0.355143312325340178
